ID_unit_physique;Nom_unit;Type_unit;Groupe;PEC;Batiment;Etage
53;Appt 53;Appt;Groupe UAB;PEC 4;Batiment G;Etage 1
54;Appt 54;Appt;Groupe UAB;PEC 4;Batiment G;Etage 1
55;Appt 55;Appt;Groupe UAB;PEC 4;Batiment G;Etage 2
56;Appt 56;Appt;Groupe UAB;PEC 4;Batiment G;Etage 2
57;Appt 57;Appt;Groupe UAB;PEC 4;Batiment H;Etage 1
58;Appt 58;Appt;Groupe UAB;PEC 4;Batiment H;Etage 1
59;Appt 59;Appt;Groupe UAB;PEC 4;Batiment H;Etage 2
60;Appt 60;Appt;Groupe UAB;PEC 4;Batiment H;Etage 2
61;Appt 61;Appt;Groupe UAB;PEC 4;Batiment H;Etage 1
62;Appt 62;Appt;Groupe UAB;PEC 4;Batiment H;Etage 1
63;Appt 63;Appt;Groupe UAB;PEC 4;Batiment H;Etage 2
64;Appt 64;Appt;Groupe UAB;PEC 4;Batiment H;Etage 2
