ts;tagName;tagValue;quality
2018-10-15 09:00:00.000;Cll6_E_2_6_P_MIEET_kWh;41850;0
2018-10-15 09:00:00.000;Ctnr_W_1_2_P_MIVET_m3;1781.46;0
2018-10-15 09:00:00.000;Dprt_Csn_E_3_2_P_MIEET_kWh;7114;0
2018-10-15 09:00:00.000;Dprt_Rstrnt_E_3_1_P_MIEET_kWh;2421;0
2018-10-15 09:00:00.000;ECS_H_1_1_P_MIECT_kWh;25261;0
2018-10-15 09:00:00.000;ECS_W_1_1_1_1_P_MIVET_m3;230.5;0
2018-10-15 09:00:00.000;LclTcnq12_E_2_3_P_MIEET_kWh;0;0
2018-10-15 09:00:00.000;LclTcnq22_E_2_5_P_MIEET_kWh;262293;0
2018-10-15 09:00:00.000;MtEclrg_E_2_1_P_MIEET_kWh;59527;0
2018-10-15 10:00:00.000;AtlrDpt_E_2_4_P_MIEET_kWh;4621;0
2018-10-15 10:00:00.000;Chdr_H_1_P_MIECT_kWh;191929;0
2018-10-15 10:00:00.000;Cll6_E_2_6_P_MIEET_kWh;41850;0
2018-10-15 10:00:00.000;Ctnr_W_1_2_P_MIVET_m3;1781.46;0
2018-10-15 10:00:00.000;Dprt_Csn_E_3_2_P_MIEET_kWh;7114;0
2018-10-15 10:00:00.000;Dprt_Rstrnt_E_3_1_P_MIEET_kWh;2421;0
2018-10-15 10:00:00.000;ECS_H_1_1_P_MIECT_kWh;25261;0
2018-10-15 10:00:00.000;ECS_W_1_1_1_1_P_MIVET_m3;230.5;0
2018-10-15 10:00:00.000;LclTcnq12_E_2_3_P_MIEET_kWh;0;0
2018-10-15 10:00:00.000;LclTcnq22_E_2_5_P_MIEET_kWh;262293;0
2018-10-15 10:00:00.000;MtEclrg_E_2_1_P_MIEET_kWh;59527;0
2018-10-15 11:00:00.000;AtlrDpt_E_2_4_P_MIEET_kWh;4621;0
2018-10-15 11:00:00.000;Chdr_H_1_P_MIECT_kWh;191948;0
2018-10-15 11:00:00.000;Cll6_E_2_6_P_MIEET_kWh;41850;0
2018-10-15 11:00:00.000;Ctnr_W_1_2_P_MIVET_m3;1781.46;0
2018-10-15 11:00:00.000;Dprt_Csn_E_3_2_P_MIEET_kWh;7114;0
2018-10-15 11:00:00.000;Dprt_Rstrnt_E_3_1_P_MIEET_kWh;2421;0
2018-10-15 11:00:00.000;ECS_H_1_1_P_MIECT_kWh;25261;0
2018-10-15 11:00:00.000;ECS_W_1_1_1_1_P_MIVET_m3;230.5;0
2018-10-15 11:00:00.000;LclTcnq12_E_2_3_P_MIEET_kWh;0;0
2018-10-15 11:00:00.000;LclTcnq22_E_2_5_P_MIEET_kWh;262293;0
2018-10-15 11:00:00.000;MtEclrg_E_2_1_P_MIEET_kWh;59527;0
2018-10-15 12:00:00.000;AtlrDpt_E_2_4_P_MIEET_kWh;4621;0
2018-10-15 12:00:00.000;Chdr_H_1_P_MIECT_kWh;191985;0
2018-10-15 12:00:00.000;Cll6_E_2_6_P_MIEET_kWh;41850;0
2018-10-15 12:00:00.000;Ctnr_W_1_2_P_MIVET_m3;1781.46;0
2018-10-15 12:00:00.000;Dprt_Csn_E_3_2_P_MIEET_kWh;7114;0
2018-10-15 12:00:00.000;Dprt_Rstrnt_E_3_1_P_MIEET_kWh;2421;0
2018-10-15 12:00:00.000;ECS_H_1_1_P_MIECT_kWh;25273;0
2018-10-15 12:00:00.000;ECS_W_1_1_1_1_P_MIVET_m3;230.66;0
2018-10-15 12:00:00.000;LclTcnq12_E_2_3_P_MIEET_kWh;0;0
2018-10-15 12:00:00.000;LclTcnq22_E_2_5_P_MIEET_kWh;262293;0
2018-10-15 12:00:00.000;MtEclrg_E_2_1_P_MIEET_kWh;59527;0
2018-10-15 13:00:00.000;AtlrDpt_E_2_4_P_MIEET_kWh;4621;0
2018-10-15 13:00:00.000;Chdr_H_1_P_MIECT_kWh;192000;0
2018-10-15 13:00:00.000;Cll6_E_2_6_P_MIEET_kWh;41850;0
2018-10-15 13:00:00.000;Ctnr_W_1_2_P_MIVET_m3;1781.46;0
2018-10-15 13:00:00.000;Dprt_Csn_E_3_2_P_MIEET_kWh;7114;0
2018-10-15 13:00:00.000;Dprt_Rstrnt_E_3_1_P_MIEET_kWh;2421;0
2018-10-15 13:00:00.000;ECS_H_1_1_P_MIECT_kWh;25275;0
2018-10-15 13:00:00.000;ECS_W_1_1_1_1_P_MIVET_m3;230.66;0
2018-10-15 13:00:00.000;LclTcnq12_E_2_3_P_MIEET_kWh;0;0
2018-10-15 13:00:00.000;LclTcnq22_E_2_5_P_MIEET_kWh;262293;0
2018-10-15 13:00:00.000;MtEclrg_E_2_1_P_MIEET_kWh;59527;0
2018-10-15 14:00:00.000;AtlrDpt_E_2_4_P_MIEET_kWh;4621;0
2018-10-15 14:00:00.000;Chdr_H_1_P_MIECT_kWh;192012;0
2018-10-15 14:00:00.000;Cll6_E_2_6_P_MIEET_kWh;41850;0
2018-10-15 14:00:00.000;Ctnr_W_1_2_P_MIVET_m3;1781.46;0
2018-10-15 14:00:00.000;Dprt_Csn_E_3_2_P_MIEET_kWh;7114;0
2018-10-15 14:00:00.000;Dprt_Rstrnt_E_3_1_P_MIEET_kWh;2421;0
2018-10-15 14:00:00.000;ECS_H_1_1_P_MIECT_kWh;25275;0
2018-10-15 14:00:00.000;ECS_W_1_1_1_1_P_MIVET_m3;230.67;0
2018-10-15 14:00:00.000;LclTcnq12_E_2_3_P_MIEET_kWh;0;0
2018-10-15 14:00:00.000;LclTcnq22_E_2_5_P_MIEET_kWh;262293;0
2018-10-15 14:00:00.000;MtEclrg_E_2_1_P_MIEET_kWh;59527;0
2018-10-15 15:00:00.000;AtlrDpt_E_2_4_P_MIEET_kWh;4621;0
2018-10-15 15:00:00.000;Chdr_H_1_P_MIECT_kWh;192024;0
2018-10-15 15:00:00.000;Cll6_E_2_6_P_MIEET_kWh;41850;0
2018-10-15 15:00:00.000;Ctnr_W_1_2_P_MIVET_m3;1781.46;0
2018-10-15 15:00:00.000;Dprt_Csn_E_3_2_P_MIEET_kWh;7114;0
2018-10-15 15:00:00.000;Dprt_Rstrnt_E_3_1_P_MIEET_kWh;2421;0
2018-10-15 15:00:00.000;ECS_H_1_1_P_MIECT_kWh;25275;0
2018-10-15 15:00:00.000;ECS_W_1_1_1_1_P_MIVET_m3;230.71;0
2018-10-15 15:00:00.000;LclTcnq12_E_2_3_P_MIEET_kWh;0;0
2018-10-15 15:00:00.000;LclTcnq22_E_2_5_P_MIEET_kWh;262293;0
2018-10-15 15:00:00.000;MtEclrg_E_2_1_P_MIEET_kWh;59527;0
2018-10-15 16:00:00.000;AtlrDpt_E_2_4_P_MIEET_kWh;4621;0
2018-10-15 16:00:00.000;Chdr_H_1_P_MIECT_kWh;192033;0
2018-10-15 16:00:00.000;Cll6_E_2_6_P_MIEET_kWh;41850;0
2018-10-15 16:00:00.000;Ctnr_W_1_2_P_MIVET_m3;1781.46;0
2018-10-15 16:00:00.000;Dprt_Csn_E_3_2_P_MIEET_kWh;7114;0
2018-10-15 16:00:00.000;Dprt_Rstrnt_E_3_1_P_MIEET_kWh;2421;0
2018-10-15 16:00:00.000;ECS_H_1_1_P_MIECT_kWh;25275;0
2018-10-15 16:00:00.000;ECS_W_1_1_1_1_P_MIVET_m3;230.71;0
2018-10-15 16:00:00.000;LclTcnq12_E_2_3_P_MIEET_kWh;0;0
2018-10-15 16:00:00.000;LclTcnq22_E_2_5_P_MIEET_kWh;262293;0
2018-10-15 16:00:00.000;MtEclrg_E_2_1_P_MIEET_kWh;59527;0
2018-10-15 17:00:00.000;AtlrDpt_E_2_4_P_MIEET_kWh;4621;0
